danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,audio_features,0H2VhGUC3P3hvwz8rdGIpC,spotify:track:0H2VhGUC3P3hvwz8rdGIpC,https://api.spotify.com/v1/tracks/0H2VhGUC3P3hvwz8rdGIpC,https://api.spotify.com/v1/audio-analysis/0H2VhGUC3P3hvwz8rdGIpC,203656,5
0.267,0.0024,1,-42.261,0,0.0531,0.995,0.897,0.0942,0.267,71.428,audio_features,0kckvKwPBjQuVLgwGnICAv,spotify:track:0kckvKwPBjQuVLgwGnICAv,https://api.spotify.com/v1/tracks/0kckvKwPBjQuVLgwGnICAv,https://api.spotify.com/v1/audio-analysis/0kckvKwPBjQuVLgwGnICAv,397773,4
0.391,0.0939,8,-25.725,0,0.0531,0.982,0.933,0.107,0.101,127.162,audio_features,7i9cdG6l1lg0xAraTublsw,spotify:track:7i9cdG6l1lg0xAraTublsw,https://api.spotify.com/v1/tracks/7i9cdG6l1lg0xAraTublsw,https://api.spotify.com/v1/audio-analysis/7i9cdG6l1lg0xAraTublsw,142638,4
0.191,0.0317,9,-35.616,0,0.0407,0.984,0.888,0.0974,0.142,135.974,audio_features,1mlLOJXeUrwviYpUHYeZE8,spotify:track:1mlLOJXeUrwviYpUHYeZE8,https://api.spotify.com/v1/tracks/1mlLOJXeUrwviYpUHYeZE8,https://api.spotify.com/v1/audio-analysis/1mlLOJXeUrwviYpUHYeZE8,150733,3
0.379,0.075,0,-20.328,1,0.0408,0.992,0.913,0.106,0.0353,68.232,audio_features,0OrZXWjGgGUuoIoqnLvtJN,spotify:track:0OrZXWjGgGUuoIoqnLvtJN,https://api.spotify.com/v1/tracks/0OrZXWjGgGUuoIoqnLvtJN,https://api.spotify.com/v1/audio-analysis/0OrZXWjGgGUuoIoqnLvtJN,241187,3
0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,audio_features,1BncfTJAWxrsxyT9culBrj,spotify:track:1BncfTJAWxrsxyT9culBrj,https://api.spotify.com/v1/tracks/1BncfTJAWxrsxyT9culBrj,https://api.spotify.com/v1/audio-analysis/1BncfTJAWxrsxyT9culBrj,315427,4
0.329,0.0232,2,-24.632,0,0.0372,0.993,0.922,0.0965,0.112,111.377,audio_features,65a1ng2xAbaRbYWsq9H2MH,spotify:track:65a1ng2xAbaRbYWsq9H2MH,https://api.spotify.com/v1/tracks/65a1ng2xAbaRbYWsq9H2MH,https://api.spotify.com/v1/audio-analysis/65a1ng2xAbaRbYWsq9H2MH,209693,4
0.16,0.0301,1,-25.553,1,0.0495,0.968,0.888,0.161,0.0396,67.917,audio_features,1W6ZSpMRXgeM9iSJxA1xus,spotify:track:1W6ZSpMRXgeM9iSJxA1xus,https://api.spotify.com/v1/tracks/1W6ZSpMRXgeM9iSJxA1xus,https://api.spotify.com/v1/audio-analysis/1W6ZSpMRXgeM9iSJxA1xus,190867,3
0.457,0.0252,3,-35.116,1,0.0621,0.996,0.875,0.0975,0.168,74.137,audio_features,5zIJsFst05gsrUdr9ghEpG,spotify:track:5zIJsFst05gsrUdr9ghEpG,https://api.spotify.com/v1/tracks/5zIJsFst05gsrUdr9ghEpG,https://api.spotify.com/v1/audio-analysis/5zIJsFst05gsrUdr9ghEpG,138840,4
0.385,0.285,9,-19.837,1,0.0583,0.966,0.937,0.111,0.267,137.2,audio_features,3IEl5LLYsvTEQmnxMaxBQa,spotify:track:3IEl5LLYsvTEQmnxMaxBQa,https://api.spotify.com/v1/tracks/3IEl5LLYsvTEQmnxMaxBQa,https://api.spotify.com/v1/audio-analysis/3IEl5LLYsvTEQmnxMaxBQa,210562,3
